"gas_day","region_code","gas_cons_mcm","rec_added"
2023-12-04,FR,195.50,2024-03-14 18:17:11.763 +0300
2023-12-04,AT,34.68,2023-12-15 18:10:10.212 +0300
2023-12-04,CZ,46.7733333,2023-12-06 03:00:22.000 +0300
2023-12-03,FR,196.46,2024-03-13 18:17:12.270 +0300
2023-12-03,AT,34.26,2023-12-14 18:10:10.053 +0300
2023-12-03,CZ,42.4209524,2023-12-05 03:00:25.000 +0300
2023-12-02,FR,203.44,2024-03-12 18:18:52.772 +0300
2023-12-02,AT,32.57,2023-12-13 18:10:10.020 +0300
2023-12-02,CZ,39.0695238,2023-12-04 03:00:38.000 +0300
2023-12-01,FR,203.19,2024-03-10 18:15:16.757 +0300
2023-12-01,AT,36.10,2023-12-12 18:10:08.178 +0300
2023-12-01,CZ,38.8185714,2023-12-03 03:00:46.000 +0300
2023-11-30,FR,193.83,2024-03-10 18:15:16.757 +0300
2023-11-30,AT,33.42,2023-12-11 18:10:09.957 +0300
2023-11-30,CZ,38.3885714,2023-12-02 03:00:45.000 +0300
2023-11-29,FR,194.87,2024-03-09 18:15:53.342 +0300
2023-11-29,AT,41.74,2023-12-10 18:10:08.372 +0300
2023-11-29,CZ,46.1628572,2023-12-01 03:00:42.000 +0300
2023-11-28,FR,186.98,2024-03-08 18:20:00.751 +0300
2023-11-28,AT,36.91,2023-12-09 18:10:07.946 +0300
2023-11-28,CZ,37.2614286,2023-11-30 03:00:42.000 +0300
2023-11-27,FR,176.32,2024-03-07 18:18:06.627 +0300
2023-11-27,AT,30.42,2023-12-08 18:10:09.846 +0300
2023-11-27,CZ,39.2404762,2023-11-29 03:00:50.000 +0300
2023-11-26,FR,163.66,2024-03-06 18:16:10.198 +0300
2023-11-26,AT,24.47,2023-12-07 18:10:09.468 +0300
2023-11-26,CZ,36.2138095,2023-11-28 03:00:32.000 +0300
2023-11-25,FR,153.85,2024-03-04 18:22:21.218 +0300
2023-11-25,AT,24.30,2023-12-06 18:10:07.909 +0300
2023-11-25,CZ,36.1295238,2023-11-27 03:00:53.000 +0300
2023-11-24,FR,141.69,2024-03-04 18:22:21.218 +0300
2023-11-24,AT,22.81,2023-12-05 18:10:07.593 +0300
2023-11-24,CZ,37.8747619,2023-11-26 03:00:50.000 +0300
2023-11-23,FR,139.70,2024-03-03 18:17:26.696 +0300
2023-11-23,AT,19.24,2023-12-04 18:10:08.466 +0300
2023-11-23,CZ,37.4919048,2023-11-25 03:00:56.000 +0300
2023-11-22,FR,151.06,2024-03-02 18:16:05.572 +0300
2023-11-22,AT,28.29,2023-12-03 18:10:09.130 +0300
2023-11-22,CZ,40.2842857,2023-11-24 03:00:52.000 +0300
2023-11-21,FR,141.75,2024-03-01 18:16:41.228 +0300
2023-11-21,AT,21.31,2023-12-02 18:10:09.538 +0300
2023-11-21,CZ,36.9957143,2023-11-23 03:00:46.000 +0300
2023-11-20,FR,131.89,2024-02-29 18:17:40.647 +0300
2023-11-20,AT,29.01,2023-12-01 18:10:09.418 +0300
2023-11-20,CZ,39.8085714,2023-11-22 03:00:34.000 +0300
2023-11-19,FR,99.31,2024-02-28 18:17:50.307 +0300
2023-11-19,AT,19.84,2023-11-30 18:10:08.272 +0300
2023-11-19,CZ,43.8985714,2023-11-21 03:00:38.000 +0300
2023-11-18,FR,108.48,2024-02-27 18:22:43.530 +0300
2023-11-18,AT,19.95,2023-11-29 18:10:08.995 +0300
2023-11-18,CZ,40.8033334,2023-11-20 03:00:33.000 +0300
2023-11-17,FR,140.48,2024-02-26 18:22:25.824 +0300
2023-11-17,AT,31.44,2023-11-28 18:10:09.360 +0300
2023-11-17,CZ,33.5504762,2023-11-19 03:00:43.000 +0300
2023-11-16,FR,137.21,2024-02-25 18:24:35.433 +0300
2023-11-16,AT,26.35,2023-11-27 18:10:08.371 +0300
2023-11-16,CZ,38.2390476,2023-11-18 03:00:48.000 +0300
2023-11-15,FR,127.18,2024-02-24 18:16:01.037 +0300
2023-11-15,AT,24.10,2023-11-26 18:10:08.386 +0300
2023-11-15,CZ,44.9704762,2023-11-17 03:01:01.000 +0300
2023-11-14,FR,115.02,2024-02-23 18:20:10.103 +0300
2023-11-14,AT,17.75,2023-11-25 18:10:08.985 +0300
2023-11-14,CZ,46.2795238,2023-11-16 03:00:27.000 +0300
2023-11-13,FR,108.55,2024-02-21 18:22:44.978 +0300
2023-11-13,AT,27.99,2023-11-24 18:10:09.434 +0300
2023-11-13,CZ,42.2080952,2023-11-15 03:00:25.000 +0300
2023-11-12,FR,112.28,2024-02-21 18:22:44.978 +0300
2023-11-12,AT,23.43,2023-11-23 18:10:08.796 +0300
2023-11-12,CZ,40.6852381,2023-11-14 03:00:26.000 +0300
2023-11-11,FR,125.06,2024-02-20 18:16:27.151 +0300
2023-11-11,AT,22.44,2023-11-22 18:10:09.503 +0300
2023-11-11,CZ,39.5904762,2023-11-13 03:00:17.000 +0300
2023-11-10,FR,134.50,2024-02-19 18:16:04.711 +0300
2023-11-10,AT,24.19,2023-11-21 18:10:11.032 +0300
2023-11-10,CZ,36.7838095,2023-11-12 03:00:07.000 +0300
2023-11-09,FR,134.51,2024-02-18 18:16:02.947 +0300
2023-11-09,AT,19.88,2023-11-20 18:10:09.620 +0300
2023-11-09,CZ,38.0247619,2023-11-11 03:00:26.000 +0300
2023-11-08,FR,126.31,2024-02-17 18:16:21.077 +0300
2023-11-08,AT,23.64,2023-11-19 18:10:08.201 +0300
2023-11-08,CZ,41.4395238,2023-11-10 03:00:15.000 +0300
2023-11-07,FR,133.41,2024-02-15 18:15:49.958 +0300
2023-11-07,AT,21.34,2023-11-18 18:10:08.248 +0300
2023-11-07,CZ,37.5847619,2023-11-09 03:00:29.000 +0300
