"date_actual","region_name","date_forecast","day_avg_temp","is_fact","doc_date"
2023-12-28,Австрия,2023-12-23,3.00,false,2023-12-23
2023-12-28,Германия,2023-12-23,7.00,false,2023-12-23
2023-12-28,Франция,2023-12-23,9.00,false,2023-12-23
2023-12-28,Австрия,2023-12-22,4.00,false,2023-12-22
2023-12-28,Германия,2023-12-22,6.00,false,2023-12-22
2023-12-28,Франция,2023-12-22,9.00,false,2023-12-22
2023-12-27,Австрия,,4.00,true,2023-12-28
2023-12-27,Германия,,4.00,true,2023-12-28
2023-12-27,Франция,,7.00,true,2023-12-28
2023-12-27,Австрия,2023-12-27,3.00,false,2023-12-27
2023-12-27,Германия,2023-12-27,4.00,false,2023-12-27
2023-12-27,Франция,2023-12-27,7.00,false,2023-12-27
2023-12-27,Австрия,2023-12-26,3.00,false,2023-12-26
2023-12-27,Германия,2023-12-26,4.00,false,2023-12-26
2023-12-27,Франция,2023-12-26,7.00,false,2023-12-26
2023-12-27,Австрия,2023-12-25,3.00,false,2023-12-25
2023-12-27,Германия,2023-12-25,5.00,false,2023-12-25
2023-12-27,Франция,2023-12-25,7.00,false,2023-12-25
2023-12-27,Австрия,2023-12-24,4.00,false,2023-12-24
2023-12-27,Германия,2023-12-24,5.00,false,2023-12-24
2023-12-27,Франция,2023-12-24,7.00,false,2023-12-24
2023-12-27,Австрия,2023-12-23,3.00,false,2023-12-23
2023-12-27,Германия,2023-12-23,5.00,false,2023-12-23
2023-12-27,Франция,2023-12-23,8.00,false,2023-12-23
2023-12-27,Австрия,2023-12-22,4.00,false,2023-12-22
2023-12-27,Германия,2023-12-22,5.00,false,2023-12-22
2023-12-27,Франция,2023-12-22,7.00,false,2023-12-22
2023-12-27,Австрия,2023-12-21,3.00,false,2023-12-21
2023-12-27,Германия,2023-12-21,4.00,false,2023-12-21
2023-12-27,Франция,2023-12-21,7.00,false,2023-12-21
2023-12-26,Австрия,,5.00,true,2023-12-27
2023-12-26,Германия,,8.00,true,2023-12-27
2023-12-26,Франция,,8.00,true,2023-12-27
2023-12-26,Австрия,2023-12-26,4.00,false,2023-12-26
2023-12-26,Германия,2023-12-26,8.00,false,2023-12-26
2023-12-26,Франция,2023-12-26,8.00,false,2023-12-26
2023-12-26,Австрия,2023-12-25,4.00,false,2023-12-25
2023-12-26,Германия,2023-12-25,8.00,false,2023-12-25
2023-12-26,Франция,2023-12-25,8.00,false,2023-12-25
2023-12-26,Австрия,2023-12-24,5.00,false,2023-12-24
2023-12-26,Германия,2023-12-24,8.00,false,2023-12-24
2023-12-26,Франция,2023-12-24,8.00,false,2023-12-24
2023-12-26,Австрия,2023-12-23,5.00,false,2023-12-23
2023-12-26,Германия,2023-12-23,8.00,false,2023-12-23
2023-12-26,Франция,2023-12-23,8.00,false,2023-12-23
2023-12-26,Австрия,2023-12-22,5.00,false,2023-12-22
2023-12-26,Германия,2023-12-22,8.00,false,2023-12-22
2023-12-26,Франция,2023-12-22,8.00,false,2023-12-22
2023-12-26,Австрия,2023-12-21,5.00,false,2023-12-21
2023-12-26,Германия,2023-12-21,7.00,false,2023-12-21
2023-12-26,Франция,2023-12-21,7.00,false,2023-12-21
2023-12-26,Австрия,2023-12-20,6.00,false,2023-12-20
2023-12-26,Германия,2023-12-20,5.00,false,2023-12-20
2023-12-26,Франция,2023-12-20,8.00,false,2023-12-20
2023-12-25,Австрия,,7.00,true,2023-12-26
2023-12-25,Германия,,10.00,true,2023-12-26
2023-12-25,Франция,,9.00,true,2023-12-26
2023-12-25,Австрия,2023-12-25,7.00,false,2023-12-25
2023-12-25,Германия,2023-12-25,9.00,false,2023-12-25
2023-12-25,Франция,2023-12-25,9.00,false,2023-12-25
2023-12-25,Австрия,2023-12-24,8.00,false,2023-12-24
2023-12-25,Германия,2023-12-24,9.00,false,2023-12-24
2023-12-25,Франция,2023-12-24,9.00,false,2023-12-24
2023-12-25,Австрия,2023-12-23,8.00,false,2023-12-23
2023-12-25,Германия,2023-12-23,9.00,false,2023-12-23
2023-12-25,Франция,2023-12-23,9.00,false,2023-12-23
2023-12-25,Австрия,2023-12-22,8.00,false,2023-12-22
2023-12-25,Германия,2023-12-22,9.00,false,2023-12-22
2023-12-25,Франция,2023-12-22,8.00,false,2023-12-22
2023-12-25,Австрия,2023-12-21,7.00,false,2023-12-21
2023-12-25,Германия,2023-12-21,9.00,false,2023-12-21
2023-12-25,Франция,2023-12-21,8.00,false,2023-12-21
2023-12-25,Австрия,2023-12-20,8.00,false,2023-12-20
2023-12-25,Германия,2023-12-20,8.00,false,2023-12-20
2023-12-25,Франция,2023-12-20,9.00,false,2023-12-20
2023-12-25,Австрия,2023-12-19,8.00,false,2023-12-19
2023-12-25,Германия,2023-12-19,8.00,false,2023-12-19
2023-12-25,Франция,2023-12-19,10.00,false,2023-12-19
2023-12-24,Австрия,,5.00,true,2023-12-25
2023-12-24,Германия,,7.00,true,2023-12-25
2023-12-24,Франция,,10.00,true,2023-12-25
2023-12-24,Австрия,2023-12-24,5.00,false,2023-12-24
2023-12-24,Германия,2023-12-24,6.00,false,2023-12-24
2023-12-24,Франция,2023-12-24,9.00,false,2023-12-24
2023-12-24,Австрия,2023-12-23,6.00,false,2023-12-23
2023-12-24,Германия,2023-12-23,7.00,false,2023-12-23
2023-12-24,Франция,2023-12-23,9.00,false,2023-12-23
2023-12-24,Австрия,2023-12-22,5.00,false,2023-12-22
2023-12-24,Германия,2023-12-22,7.00,false,2023-12-22
2023-12-24,Франция,2023-12-22,9.00,false,2023-12-22
2023-12-24,Австрия,2023-12-21,5.00,false,2023-12-21
2023-12-24,Германия,2023-12-21,7.00,false,2023-12-21
2023-12-24,Франция,2023-12-21,9.00,false,2023-12-21
2023-12-24,Австрия,2023-12-20,4.00,false,2023-12-20
2023-12-24,Германия,2023-12-20,6.00,false,2023-12-20
2023-12-24,Франция,2023-12-20,9.00,false,2023-12-20
2023-12-24,Австрия,2023-12-19,5.00,false,2023-12-19
2023-12-24,Германия,2023-12-19,7.00,false,2023-12-19
2023-12-24,Франция,2023-12-19,9.00,false,2023-12-19
2023-12-24,Австрия,2023-12-18,5.00,false,2023-12-18
2023-12-24,Германия,2023-12-18,5.00,false,2023-12-18
2023-12-24,Франция,2023-12-18,9.00,false,2023-12-18
2023-12-23,Австрия,,4.00,true,2023-12-24
2023-12-23,Германия,,4.00,true,2023-12-24
2023-12-23,Франция,,9.00,true,2023-12-24
2023-12-23,Австрия,2023-12-23,4.00,false,2023-12-23
2023-12-23,Германия,2023-12-23,4.00,false,2023-12-23
2023-12-23,Франция,2023-12-23,9.00,false,2023-12-23
2023-12-23,Австрия,2023-12-22,4.00,false,2023-12-22
2023-12-23,Германия,2023-12-22,5.00,false,2023-12-22
2023-12-23,Франция,2023-12-22,9.00,false,2023-12-22
2023-12-23,Австрия,2023-12-21,4.00,false,2023-12-21
2023-12-23,Германия,2023-12-21,5.00,false,2023-12-21
2023-12-23,Франция,2023-12-21,9.00,false,2023-12-21
2023-12-23,Австрия,2023-12-20,3.00,false,2023-12-20
2023-12-23,Германия,2023-12-20,4.00,false,2023-12-20
2023-12-23,Франция,2023-12-20,9.00,false,2023-12-20
2023-12-23,Австрия,2023-12-19,4.00,false,2023-12-19
2023-12-23,Германия,2023-12-19,5.00,false,2023-12-19
2023-12-23,Франция,2023-12-19,9.00,false,2023-12-19
2023-12-23,Австрия,2023-12-18,6.00,false,2023-12-18
2023-12-23,Германия,2023-12-18,6.00,false,2023-12-18
2023-12-23,Франция,2023-12-18,9.00,false,2023-12-18
2023-12-23,Австрия,2023-12-17,5.00,false,2023-12-17
2023-12-23,Германия,2023-12-17,5.00,false,2023-12-17
2023-12-23,Франция,2023-12-17,9.00,false,2023-12-17
2023-12-22,Австрия,,4.00,true,2023-12-23
2023-12-22,Германия,,4.00,true,2023-12-23
2023-12-22,Франция,,10.00,true,2023-12-23
2023-12-22,Австрия,2023-12-22,3.00,false,2023-12-22
2023-12-22,Германия,2023-12-22,4.00,false,2023-12-22
2023-12-22,Франция,2023-12-22,10.00,false,2023-12-22
2023-12-22,Австрия,2023-12-21,3.00,false,2023-12-21
